"Income","Income Percentile","Income Tax with Bernie","Social Security Tax with Bernie","Medicare Tax with Bernie","Medicare-for-all Tax with Bernie","Family Leave Tax with Bernie","Healthcare Premiums with Bernie","Healthcare Expenses with Bernie","Total Tax with Bernie","Effective Tax Rate with Bernie","Income Tax at Present","Social Security Tax at Present","Medicare Tax at Present","Medicare-for-all Tax at Present","Family Leave Tax at Present","Healthcare Premiums at Present","Healthcare Expenses at Present","Total Tax at Present","Effective Tax Rate at Present"
170000,0.990410046391361,37787.25,7347,2465,3740,227.4,0,0,51566.65,0.303333235294118,37787.25,7347,2465,0,0,1071,1318,49988.25,0.294048529411765
172000,0.990668621187923,38347.25,7347,2494,3784,227.4,0,0,52199.65,0.303486337209302,38347.25,7347,2494,0,0,1071,1318,50577.25,0.294053779069767
174000,0.990927195984486,38907.25,7347,2523,3828,227.4,0,0,52832.65,0.30363591954023,38907.25,7347,2523,0,0,1071,1318,51166.25,0.294058908045977
176000,0.991185770781048,39467.25,7347,2552,3872,227.4,0,0,53465.65,0.303782102272727,39467.25,7347,2552,0,0,1071,1318,51755.25,0.294063920454545
178000,0.99144434557761,40027.25,7347,2581,3916,227.4,0,0,54098.65,0.303925,40027.25,7347,2581,0,0,1071,1318,52344.25,0.294068820224719
180000,0.991702920374173,40587.25,7347,2610,3960,227.4,0,0,54731.65,0.304064722222222,40587.25,7347,2610,0,0,1071,1318,52933.25,0.294073611111111
182000,0.991961495170735,41147.25,7347,2639,4004,227.4,0,0,55364.65,0.304201373626374,41147.25,7347,2639,0,0,1071,1318,53522.25,0.294078296703297
184000,0.992220069967298,41707.25,7347,2668,4048,227.4,0,0,55997.65,0.304335054347826,41707.25,7347,2668,0,0,1071,1318,54111.25,0.294082880434783
186000,0.99247864476386,42267.25,7347,2697,4092,227.4,0,0,56630.65,0.304465860215054,42267.25,7347,2697,0,0,1071,1318,54700.25,0.294087365591398
188000,0.992737219560423,42827.25,7347,2726,4136,227.4,0,0,57263.65,0.304593882978723,42827.25,7347,2726,0,0,1071,1318,55289.25,0.294091755319149
190000,0.992995794356985,43387.25,7347,2755,4180,227.4,0,0,57896.65,0.304719210526316,43387.25,7347,2755,0,0,1071,1318,55878.25,0.294096052631579
192000,0.993254369153548,43947.25,7347,2784,4224,227.4,0,0,58529.65,0.304841927083333,43947.25,7347,2784,0,0,1071,1318,56467.25,0.294100260416667
194000,0.99351294395011,44507.25,7347,2813,4268,227.4,0,0,59162.65,0.304962113402062,44507.25,7347,2813,0,0,1071,1318,57056.25,0.294104381443299
196000,0.993771518746673,45067.25,7347,2842,4312,227.4,0,0,59795.65,0.305079846938776,45067.25,7347,2842,0,0,1071,1318,57645.25,0.294108418367347
198000,0.994030093543235,45627.25,7347,2871,4356,227.4,0,0,60428.65,0.305195202020202,45627.25,7347,2871,0,0,1071,1318,58234.25,0.294112373737374
2e+05,0.99428859031105,46207.25,7347,2900,4400,227.4,0,0,61081.65,0.30540825,46207.25,7347,2900,0,0,1071,1318,58843.25,0.29421625
202000,0.994391107612746,46867.25,7347,2947,4444,227.4,0,0,61832.65,0.306102227722772,46867.25,7347,2947,0,0,1071,1318,59550.25,0.294803217821782
204000,0.994493624914442,47527.25,7347,2994,4488,227.4,0,0,62583.65,0.306782598039216,47527.25,7347,2994,0,0,1071,1318,60257.25,0.295378676470588
206000,0.994596142216138,48187.25,7347,3041,4532,227.4,0,0,63334.65,0.307449757281553,48187.25,7347,3041,0,0,1071,1318,60964.25,0.295942961165049
208000,0.994698659517834,48847.25,7347,3088,4576,227.4,0,0,64085.65,0.308104086538462,48847.25,7347,3088,0,0,1071,1318,61671.25,0.296496394230769
210000,0.99480117681953,49507.25,7347,3135,4620,227.4,0,0,64836.65,0.308745952380952,49507.25,7347,3135,0,0,1071,1318,62378.25,0.297039285714286
212000,0.994903694121226,50167.25,7347,3182,4664,227.4,0,0,65587.65,0.30937570754717,50167.25,7347,3182,0,0,1071,1318,63085.25,0.297571933962264
214000,0.995006211422922,50827.25,7347,3229,4708,227.4,0,0,66338.65,0.309993691588785,50827.25,7347,3229,0,0,1071,1318,63792.25,0.298094626168224
216000,0.995108728724618,51487.25,7347,3276,4752,227.4,0,0,67089.65,0.310600231481481,51487.25,7347,3276,0,0,1071,1318,64499.25,0.298607638888889
218000,0.995211246026314,52147.25,7347,3323,4796,227.4,0,0,67840.65,0.311195642201835,52147.25,7347,3323,0,0,1071,1318,65206.25,0.29911123853211
220000,0.99531376332801,52807.25,7347,3370,4840,227.4,0,0,68591.65,0.311780227272727,52807.25,7347,3370,0,0,1071,1318,65913.25,0.299605681818182
222000,0.995416280629706,53467.25,7347,3417,4884,227.4,0,0,69342.65,0.312354279279279,53467.25,7347,3417,0,0,1071,1318,66620.25,0.300091216216216
